epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38114,3.32827,5.1185,2.283,0,0,0,0,2.70745,4.97263,1.84845,0.00015012,0.00015012,0.00015012
2,14.6793,2.38169,4.73877,1.68667,0.00358,0.16991,0.00486,0.00207,2.01915,4.69892,1.46826,0.000304791,0.000304791,0.000304791
3,19.9034,1.99728,4.38771,1.45173,0.00502,0.3539,0.05365,0.02622,1.58892,4.42297,1.28541,0.000458434,0.000458434,0.000458434
4,25.1829,1.81952,4.1487,1.34726,0.66626,0.11543,0.14167,0.09168,1.59305,3.83353,1.25166,0.000550496,0.000550496,0.000550496
5,30.4557,1.64004,3.74202,1.25454,0.63546,0.11979,0.21929,0.1377,1.5806,3.65552,1.29425,0.000548661,0.000548661,0.000548661
6,35.7325,1.6761,3.66028,1.2683,0.44199,0.30355,0.30254,0.18431,1.60131,3.37792,1.30126,0.000546826,0.000546826,0.000546826
7,40.8954,1.57723,3.30716,1.22483,0.39482,0.31724,0.35869,0.21577,1.47211,3.18283,1.23041,0.000544991,0.000544991,0.000544991
8,46.1044,1.52183,3.13839,1.22108,0.32736,0.50023,0.43124,0.2712,1.43509,2.88878,1.18976,0.000543156,0.000543156,0.000543156
9,51.3303,1.41872,2.91453,1.17216,0.42384,0.54978,0.48817,0.309,1.44017,2.58208,1.17063,0.000541322,0.000541322,0.000541322
10,56.5424,1.42117,2.68421,1.153,0.48498,0.66478,0.58692,0.37719,1.34382,2.33808,1.13127,0.000539487,0.000539487,0.000539487
11,61.802,1.43422,2.51639,1.14436,0.54905,0.70098,0.6525,0.42437,1.29548,2.21963,1.10753,0.000537652,0.000537652,0.000537652
12,67.077,1.31672,2.30035,1.11747,0.65526,0.69532,0.73864,0.47932,1.25022,2.01051,1.07927,0.000535817,0.000535817,0.000535817
13,72.3532,1.33454,2.20602,1.10644,0.86313,0.61122,0.78715,0.50959,1.25502,1.82904,1.08536,0.000533982,0.000533982,0.000533982
14,77.5924,1.2729,2.02632,1.1011,0.70936,0.7288,0.81107,0.52867,1.26422,1.71271,1.09173,0.000532148,0.000532148,0.000532148
15,82.8822,1.28085,1.874,1.09114,0.74113,0.74082,0.83232,0.54989,1.31772,1.77557,1.11653,0.000530313,0.000530313,0.000530313
16,88.1415,1.23638,1.8595,1.08208,0.78838,0.7758,0.86595,0.5924,1.23494,1.79089,1.10716,0.000528478,0.000528478,0.000528478
17,93.4117,1.21329,1.75321,1.06899,0.78732,0.8066,0.90708,0.62488,1.11672,1.56355,1.05079,0.000526643,0.000526643,0.000526643
18,98.6973,1.1948,1.65679,1.06061,0.77698,0.87679,0.91411,0.61674,1.12393,1.42227,1.05762,0.000524808,0.000524808,0.000524808
19,103.946,1.1936,1.59859,1.06387,0.80077,0.91436,0.91587,0.61596,1.14347,1.37224,1.05819,0.000522974,0.000522974,0.000522974
20,109.284,1.15574,1.54405,1.06688,0.8644,0.82909,0.92154,0.63838,1.12702,1.32666,1.04844,0.000521139,0.000521139,0.000521139
21,114.57,1.16759,1.41585,1.05023,0.84167,0.86928,0.93715,0.66712,1.09313,1.31893,1.03943,0.000519304,0.000519304,0.000519304
22,119.844,1.15429,1.40829,1.03705,0.87574,0.87835,0.9432,0.68154,1.11609,1.37223,1.03918,0.000517469,0.000517469,0.000517469
23,125.09,1.10015,1.37889,1.04209,0.90383,0.86783,0.95217,0.6765,1.13373,1.39321,1.04506,0.000515634,0.000515634,0.000515634
24,130.39,1.08723,1.27423,1.01851,0.90508,0.86801,0.94737,0.65927,1.14519,1.26865,1.0383,0.0005138,0.0005138,0.0005138
25,135.665,1.11536,1.2832,1.02063,0.88134,0.91916,0.95321,0.68051,1.12802,1.18858,1.02812,0.000511965,0.000511965,0.000511965
26,140.891,1.09881,1.28598,1.03913,0.85025,0.9202,0.958,0.69338,1.08214,1.16997,1.02929,0.00051013,0.00051013,0.00051013
27,146.675,1.11818,1.24665,1.03124,0.90099,0.91108,0.96662,0.69662,1.06507,1.16317,1.01764,0.000508295,0.000508295,0.000508295
28,152.037,1.05776,1.23988,1.02227,0.90806,0.95086,0.97542,0.72031,1.00186,1.09396,1.00246,0.00050646,0.00050646,0.00050646
29,157.332,1.05447,1.16052,1.01551,0.93105,0.94334,0.98226,0.71985,1.0113,1.08383,0.99342,0.000504626,0.000504626,0.000504626
30,162.675,1.07047,1.153,1.00594,0.91644,0.96175,0.98205,0.69847,1.01669,1.10148,0.98353,0.000502791,0.000502791,0.000502791
31,167.944,1.04025,1.07109,0.99646,0.91452,0.96536,0.98047,0.71159,1.00083,1.10711,0.97977,0.000500956,0.000500956,0.000500956
32,173.295,1.08299,1.11882,1.00765,0.96039,0.95191,0.98814,0.73264,1.00217,1.04576,0.97349,0.000499121,0.000499121,0.000499121
33,178.64,1.05519,1.12656,0.98874,0.94705,0.9596,0.98381,0.72036,0.99165,1.03001,0.97108,0.000497286,0.000497286,0.000497286
34,183.942,1.04975,1.09694,1.01368,0.93964,0.95364,0.98496,0.71724,1.01429,1.03489,0.98662,0.000495452,0.000495452,0.000495452
35,189.197,1.01717,1.08514,0.99255,0.9425,0.9452,0.98604,0.71828,1.00385,1.03662,0.98584,0.000493617,0.000493617,0.000493617
36,194.555,1.04151,1.04818,1.00876,0.94345,0.92956,0.98575,0.73356,0.99845,1.04462,0.99463,0.000491782,0.000491782,0.000491782
37,199.917,0.97982,1.00405,0.99218,0.94297,0.96963,0.98836,0.73176,0.98035,0.99796,0.98421,0.000489947,0.000489947,0.000489947
38,205.443,1.01238,1.01487,0.98444,0.95075,0.97258,0.99034,0.72379,0.99251,0.98623,0.98492,0.000488112,0.000488112,0.000488112
39,210.839,1.03331,1.02256,0.98663,0.94114,0.96573,0.98726,0.72883,0.98763,0.96743,0.97917,0.000486278,0.000486278,0.000486278
40,216.17,1.01398,0.99296,0.99341,0.95522,0.93121,0.98335,0.73659,0.96258,0.96186,0.96601,0.000484443,0.000484443,0.000484443
41,221.848,1.01299,0.97936,0.97343,0.93428,0.97105,0.97345,0.70908,0.98132,0.94194,0.97834,0.000482608,0.000482608,0.000482608
42,227.431,0.97383,0.94726,0.97737,0.94565,0.96698,0.98084,0.72671,0.97279,0.93833,0.97851,0.000480773,0.000480773,0.000480773
43,232.881,1.00286,0.96229,0.99018,0.94121,0.96022,0.98134,0.72758,0.96333,0.94149,0.97181,0.000478938,0.000478938,0.000478938
44,238.329,0.98552,0.96961,0.97636,0.92499,0.97272,0.99213,0.74441,0.96779,0.94409,0.96781,0.000477104,0.000477104,0.000477104
45,243.749,0.97144,0.9154,0.96868,0.94993,0.9743,0.99101,0.75353,1.00124,0.92246,0.97425,0.000475269,0.000475269,0.000475269
46,249.323,0.95546,0.91919,0.98552,0.95006,0.97131,0.99291,0.76048,0.94682,0.93608,0.96265,0.000473434,0.000473434,0.000473434
47,255.118,0.95625,0.89824,0.96171,0.95065,0.97105,0.99367,0.75054,0.94552,0.94912,0.95711,0.000471599,0.000471599,0.000471599
48,260.739,0.98238,0.96133,0.97527,0.95722,0.97097,0.9926,0.74673,0.96573,0.92565,0.96559,0.000469764,0.000469764,0.000469764
49,266.314,0.95867,0.90099,0.96597,0.95725,0.96753,0.99077,0.75897,0.97794,0.94795,0.97159,0.00046793,0.00046793,0.00046793
50,271.835,0.96296,0.9133,0.96589,0.96463,0.97074,0.99313,0.74937,0.9733,0.89459,0.97049,0.000466095,0.000466095,0.000466095
51,277.364,0.9817,0.92861,0.96832,0.97042,0.96666,0.99389,0.74826,0.96952,0.88529,0.97297,0.00046426,0.00046426,0.00046426
52,283.239,0.9473,0.89481,0.96286,0.96549,0.98931,0.99476,0.75533,0.94722,0.84508,0.95666,0.000462425,0.000462425,0.000462425
53,289.356,0.93918,0.90693,0.96296,0.94995,0.9911,0.99038,0.75127,0.95615,0.87438,0.96447,0.00046059,0.00046059,0.00046059
54,295.239,0.95404,0.89139,0.95777,0.96893,0.96787,0.99278,0.7467,0.95059,0.88649,0.95783,0.000458756,0.000458756,0.000458756
55,301.098,0.95174,0.87536,0.95662,0.96757,0.97841,0.99213,0.74782,0.94194,0.86651,0.95419,0.000456921,0.000456921,0.000456921
56,306.508,0.91987,0.85697,0.94928,0.95448,0.96557,0.99175,0.75693,0.93149,0.85995,0.94497,0.000455086,0.000455086,0.000455086
57,311.941,0.9222,0.89108,0.9595,0.96031,0.96745,0.99107,0.75901,0.96545,0.84629,0.94796,0.000453251,0.000453251,0.000453251
58,317.381,0.92119,0.86146,0.95328,0.93665,0.96857,0.98893,0.73471,1.01223,0.89908,0.95557,0.000451416,0.000451416,0.000451416
59,322.832,0.99095,0.86882,0.96071,0.94322,0.97387,0.98947,0.73628,1.02696,0.89682,0.96013,0.000449582,0.000449582,0.000449582
60,328.313,0.96732,0.90522,0.96385,0.96512,0.9806,0.99415,0.75081,0.98018,0.84293,0.9533,0.000447747,0.000447747,0.000447747
61,333.834,0.93377,0.85261,0.96078,0.9682,0.9795,0.99456,0.76121,0.95546,0.82776,0.94874,0.000445912,0.000445912,0.000445912
